date,TRIMP,distance_km,duree_min,fc_moyenne,vitesse_moy,cadence_moy,CTL,ATL,TSB,semaine,annee
2024-05-03,106.6,12.6285,58.86666666666667,152.36624203821657,13.141556108859294,82.20579710144928,106.6,106.6,0.0,18,2024
2024-05-04,0.0,0.0,0.0,,,,101.64,79.95,21.69,18,2024
2024-05-05,0.0,0.0,0.0,,,,96.91,59.96,36.95,18,2024
2024-05-06,0.0,0.0,0.0,,,,92.41,44.97,47.44,19,2024
2024-05-07,165.59,17.619,72.33333333333333,162.67664115054512,14.540207933194155,82.67680520083584,95.81,75.13,20.68,19,2024
2024-05-08,0.0,0.0,0.0,,,,91.35,56.34,35.01,19,2024
2024-05-09,0.0,0.0,0.0,,,,87.11,42.26,44.85,19,2024
2024-05-10,0.0,0.0,0.0,,,,83.05,31.69,51.36,19,2024
2024-05-11,0.0,0.0,0.0,,,,79.19,23.77,55.42,19,2024
2024-05-12,0.0,0.0,0.0,,,,75.51,17.83,57.68,19,2024
2024-05-13,0.0,0.0,0.0,,,,72.0,13.37,58.63,20,2024
2024-05-14,0.0,0.0,0.0,,,,68.65,10.03,58.62,20,2024
2024-05-15,0.0,0.0,0.0,,,,65.45,7.52,57.93,20,2024
2024-05-16,0.0,0.0,0.0,,,,62.41,5.64,56.77,20,2024
2024-05-17,0.0,0.0,0.0,,,,59.51,4.23,55.28,20,2024
2024-05-18,0.0,0.0,0.0,,,,56.74,3.17,53.57,20,2024
2024-05-19,0.0,0.0,0.0,,,,54.1,2.38,51.72,20,2024
2024-05-20,91.07,10.043,38.833333333333336,163.76018876018875,15.181372972972976,82.99227136109918,55.82,24.55,31.27,21,2024
2024-05-21,0.0,0.0,0.0,,,,53.22,18.41,34.81,21,2024
2024-05-22,0.0,0.0,0.0,,,,50.75,13.81,36.94,21,2024
2024-05-23,0.0,0.0,0.0,,,,48.39,10.36,38.03,21,2024
2024-05-24,0.0,0.0,0.0,,,,46.14,7.77,38.37,21,2024
2024-05-25,0.0,0.0,0.0,,,,43.99,5.83,38.16,21,2024
2024-05-26,73.31,10.1345,44.63333333333333,148.1947652040031,14.019810623556582,80.24286815728604,45.35,22.7,22.65,21,2024
2024-05-26,10.7,1.661,8.166666666666666,138.81670061099797,12.39934582484725,80.35728952772074,43.74,19.7,24.04,21,2024
