date,TRIMP,distance_km,duree_min,fc_moyenne,vitesse_moy,cadence_moy,CTL,ATL,TSB,semaine,annee,cluster,anomaly
2024-05-03,106.6,12.6285,58.86666666666667,152.36624203821657,13.141556108859294,82.20579710144928,106.6,106.6,0.0,18,2024,0,-1
2024-05-07,165.59,17.619,72.33333333333333,162.67664115054512,14.540207933194155,82.67680520083584,95.81,75.13,20.68,19,2024,0,-1
2024-05-20,91.07,10.043,38.833333333333336,163.76018876018875,15.181372972972976,82.99227136109918,55.82,24.55,31.27,21,2024,2,1
2024-05-26,73.31,10.1345,44.63333333333333,148.1947652040031,14.019810623556582,80.24286815728604,45.35,22.7,22.65,21,2024,1,1
2024-05-26,10.7,1.661,8.166666666666666,138.81670061099797,12.39934582484725,80.35728952772074,43.74,19.7,24.04,21,2024,1,1
2024-09-07,9.28,1.022,14.7,111.66176470588236,5.714711764705883,60.08660130718954,0.74,2.32,-1.58,36,2024,1,-1
2024-09-07,7.43,1.671,8.516666666666667,123.07042253521126,13.099259154929578,,1.05,3.6,-2.55,36,2024,1,-1
2024-09-10,53.21,4.774,21.633333333333333,165.90993071593533,14.405212933025403,78.27602158828064,3.39,14.82,-11.43,37,2024,2,1
2024-09-10,35.09,4.9675,24.48333333333333,142.49591836734697,11.881579591836736,80.578231292517,4.86,19.89,-15.03,37,2024,1,1
2024-09-12,53.03,7.4945,46.45,133.3307001795332,9.493555475763015,79.49299820466787,6.89,24.44,-17.55,37,2024,1,1
2024-09-13,70.58,8.8895,39.56666666666667,151.71783876500857,13.875312349914235,79.60920034393808,9.85,35.98,-26.13,37,2024,2,1
2024-09-15,13.66,2.67159,13.683333333333334,128.1363073110285,11.452804460966544,,9.59,23.65,-14.06,37,2024,1,1
2024-09-17,97.54,15.017,61.9,146.44602960969044,14.435438923283984,81.16275936405282,13.25,37.69,-24.44,38,2024,2,1
2024-09-19,17.11,8.58,64.61666666666666,86.3262432594368,9.189779748352308,8.25256537570341,12.85,25.48,-12.63,38,2024,1,-1
2024-09-23,158.86,14.5685,59.86666666666667,169.37346711259755,14.509504013377928,81.44078212290503,18.01,47.78,-29.77,39,2024,2,1
2024-09-26,34.7,11.572,103.43333333333334,92.41712275215012,8.038579046129788,7.992138364779874,17.22,28.83,-11.61,39,2024,1,-1
2024-09-27,73.61,7.5975,43.56666666666667,149.3927342256214,10.453214684512428,80.54117196476446,19.85,40.03,-20.18,39,2024,1,1
2024-09-28,101.96,9.5775,34.4,174.4881355932203,16.507659661016948,85.79524502668608,23.66,55.51,-31.85,39,2024,2,1
2024-09-28,22.32,2.471,13.133333333333333,149.63466666666667,12.0874944,81.6970509383378,23.6,47.21,-23.61,39,2024,1,1
2024-10-01,69.0,7.568,33.03333333333333,158.59929078014184,14.521313069908814,81.19593908629442,23.67,37.17,-13.5,40,2024,2,1
2024-10-04,29.0,3.0895,19.166666666666668,144.74543874891398,9.66263145091225,80.08282476024411,21.87,22.93,-1.06,40,2024,1,1
2024-10-07,147.59,15.032,64.46666666666667,162.67743602998192,13.899577668648227,81.77412677878395,25.82,46.57,-20.75,41,2024,0,1
2024-10-09,85.19,14.885,59.96666666666667,142.1333703806613,14.771346151708808,83.178859527121,27.44,47.49,-20.05,41,2024,0,1
2024-10-10,104.03,9.3535,43.98333333333333,164.14496418036242,13.868034386852086,82.25200168563,31.0,61.63,-30.63,41,2024,2,1
2024-10-13,117.57,19.862,69.63333333333334,149.36396267049534,17.104723330940416,84.08862275449101,32.34,55.39,-23.05,41,2024,0,1
2024-10-18,120.48,15.763,74.93333333333334,147.29287003610108,12.71973736462094,83.72583559168925,31.09,43.26,-12.17,42,2024,0,1
2024-11-01,92.35,8.895,38.2,165.1330135194069,13.889616397732228,84.42769768457842,20.26,23.86,-3.6,44,2024,2,1
2024-11-03,10.95,2.226,10.633333333333333,129.31611893583724,12.199571830985915,84.26760563380282,18.92,16.16,2.76,44,2024,1,1
2024-11-06,153.36,14.118,56.86666666666667,170.11719894520948,14.697612305889246,84.65180404810795,23.54,45.16,-21.62,45,2024,2,1
2024-11-12,72.38,8.1835,40.1,152.2251765683423,12.128881595346906,83.78984602580108,21.05,26.13,-5.08,46,2024,1,1
2024-11-16,26.93,4.0465,21.566666666666663,136.88957528957528,11.115432277992278,84.2594887683966,18.65,15.0,3.65,46,2024,1,1
2024-11-17,49.85,9.999,33.13333333333333,144.50477626948216,17.880128506787333,86.78639798488665,20.11,23.71,-3.6,46,2024,2,1
2024-11-18,57.71,6.7335,30.566666666666663,154.16694584031268,13.418028140703518,82.61920714684534,21.85,32.21,-10.36,47,2024,1,1
2024-11-19,70.69,9.96,41.93333333333333,149.29678188319429,14.137610488676996,83.35972940708317,24.13,41.83,-17.7,47,2024,2,1
2024-11-21,75.76,8.195,35.9,159.04686774941996,13.590076844547564,84.24779172477918,25.46,42.47,-17.01,47,2024,2,1
2024-12-02,141.59,13.236,57.15,166.2422543523163,13.942592859250516,83.74210681616997,21.66,37.19,-15.53,49,2024,2,1
2024-12-15,45.16,4.3865,24.0,154.02172284644195,12.029786966292136,80.81968444778362,13.76,12.17,1.59,50,2024,1,1
2024-12-15,72.28,10.1705,33.43333333333333,160.12107623318386,18.090211659192825,85.98252621068397,16.48,27.2,-10.72,50,2024,2,1
2024-12-16,73.63,13.652,49.1,144.36952833389887,13.15157692568714,83.43298269426535,19.14,38.81,-19.67,51,2024,2,1
2024-12-23,94.14,10.444,51.6,152.686911334849,12.21790074699578,83.51073519843851,18.09,28.72,-10.63,52,2024,1,1
2024-12-23,81.19,9.507,45.06666666666667,152.1414814814815,12.649648,84.00519287833828,21.03,41.83,-20.8,52,2024,2,1
2024-12-24,106.23,11.5385,53.73333333333333,156.1767441860465,12.86562976744186,83.81496429680223,24.99,57.93,-32.94,52,2024,0,1
2024-12-25,97.99,9.1175,39.1,166.7635279079676,13.82374537707712,83.8625693555271,28.39,67.95,-39.56,52,2024,0,1
2024-12-27,86.66,9.264,45.56666666666667,154.4845701689934,12.183014988978693,81.78623988226637,29.84,59.89,-30.05,52,2024,0,1
2025-01-07,36.34,4.0185,17.1,159.3622200584226,13.790727166504382,83.1209756097561,19.36,11.61,7.75,2,2025,1,1
2025-01-10,69.83,10.1225,49.9,141.51311754684838,12.4413865758092,81.80450358239509,20.03,22.36,-2.33,2,2025,1,1
2025-01-11,76.12,7.097,30.633333333333333,166.37692307692308,14.042375604395604,83.51156387665198,22.64,35.8,-13.16,2,2025,2,1
2025-01-12,80.59,8.1625,30.433333333333334,169.27640941434043,16.089152709359606,86.11958310477236,25.33,47.0,-21.67,2,2025,2,1
2025-01-13,80.25,7.5125,33.86666666666667,164.22813121272367,13.426924652087475,84.14043824701196,27.89,55.31,-27.42,3,2025,2,1
2025-01-13,121.27,13.247,57.56666666666667,158.972503617945,13.800947496382054,83.14662416690814,32.23,71.8,-39.57,3,2025,0,1
2025-01-17,57.77,6.948,34.11666666666667,149.4873515745999,12.835793495095508,83.54526642524573,29.33,37.16,-7.83,3,2025,1,1
2025-01-19,189.84,16.181,70.51666666666667,170.03504617570448,13.7026152971821,83.7869163308841,35.49,68.36,-32.87,3,2025,0,1
2025-01-20,113.58,18.371,69.03333333333333,148.2664735698769,13.747302534395365,83.46777697320782,39.13,79.67,-40.54,4,2025,0,1
2025-01-23,106.95,12.024,66.45,147.33426042983564,11.015373754740835,83.91521133890154,38.89,60.35,-21.46,4,2025,0,1
2025-01-24,171.03,18.393,86.31666666666666,156.27601015030257,12.96033941050166,83.47489744090643,45.04,88.02,-42.98,4,2025,0,1
2025-01-25,82.0,10.80936,40.28333333333333,157.4577553593947,16.355586885245902,82.87789473684211,46.76,86.51,-39.75,4,2025,0,1
2025-01-25,79.84,9.493,49.516666666666666,147.40998641304347,11.523576766304348,85.18843537414966,48.29,84.84,-36.55,4,2025,0,1
2025-01-27,107.83,12.86912,59.38333333333333,152.48150240045186,13.075176616774923,81.7410234662143,48.92,74.68,-25.76,5,2025,0,1
2025-01-28,64.7,9.02882,44.91666666666666,142.7040059347181,12.052382047477746,81.8829866270431,49.66,72.19,-22.53,5,2025,0,1
2025-01-29,64.63,8.797,44.25,143.27484939759037,11.919951054216869,82.00075414781297,50.35,70.3,-19.95,5,2025,0,1
2025-01-29,66.93,8.211,41.8,147.1196406696611,12.999141363821968,81.73050224581462,51.12,69.46,-18.34,5,2025,0,1
2025-02-01,179.05,21.009,85.31666666666666,158.8044921875,14.669677265625,83.30316653635653,52.64,74.06,-21.42,5,2025,0,1
2025-02-03,179.25,17.3157,80.01666666666667,161.70449812578093,12.97400566430654,79.02709462275948,56.2,86.47,-30.27,6,2025,0,1
2025-02-06,54.75,7.577,39.15,141.4868085106383,11.596787234042552,83.64565587734242,51.26,50.17,1.09,6,2025,1,1
2025-02-06,68.11,7.73,34.916666666666664,155.5937198067633,14.092187826086956,77.94966118102614,52.05,54.65,-2.6,6,2025,2,1
2025-02-07,128.14,16.016,74.01666666666667,150.43264014466547,13.02354683544304,83.52578018995929,55.58,73.03,-17.45,6,2025,0,1
2025-02-07,58.33,7.534,33.31666666666667,150.914,13.5612648,81.4744488977956,55.71,69.35,-13.64,6,2025,0,1
2025-02-08,88.79,13.742,59.98333333333333,143.8318335208099,13.91236197975253,82.65990990990991,57.25,74.21,-16.96,6,2025,0,1
2025-02-11,100.28,13.01927,59.95,148.96831573096165,13.02159622012229,83.09488035614913,54.29,56.38,-2.09,7,2025,0,1
2025-02-16,88.61,10.082,39.85,161.372491638796,15.05259933110368,84.40794979079497,46.91,35.53,11.38,7,2025,2,1
2025-02-16,90.95,10.33598,45.61666666666667,156.54784514243974,13.428558802045288,80.32213294375457,48.96,49.39,-0.43,7,2025,2,1
2025-02-17,58.05,9.991,45.11666666666667,138.0923423423423,13.502633783783784,80.93684210526315,49.38,51.55,-2.17,8,2025,2,1
2025-02-18,140.35,13.097,60.41666666666666,163.33452840595697,12.9996,81.33074792243767,53.61,73.75,-20.14,8,2025,0,1
2025-02-19,44.88,5.362,24.716666666666665,152.48450134770889,12.9996,80.47146739130434,53.21,66.53,-13.32,8,2025,2,1
2025-02-19,116.66,12.308,56.91666666666666,157.76404494382024,13.151020342992313,81.8413262285376,56.16,79.07,-22.91,8,2025,0,1
2025-02-24,54.57,9.753,44.98333333333333,135.73444444444445,12.999600000000004,79.43234200743494,46.79,32.41,14.38,9,2025,1,1
2025-02-26,39.67,5.951,28.25,141.65448113207546,12.629721226415096,81.8581560283688,44.39,28.15,16.24,9,2025,1,1
2025-02-28,165.14,20.029,85.58333333333333,155.1158596353656,14.228926955498922,84.67856442439694,48.04,57.12,-9.08,9,2025,0,1
2025-03-03,87.2,10.265,46.583333333333336,153.79899856938485,13.211922746781116,82.1647564469914,45.7,45.9,-0.2,10,2025,2,1
2025-03-05,15.98,2.054,8.95,151.76765799256506,13.439087732342006,84.46082089552239,42.29,29.81,12.48,10,2025,1,1
2025-03-05,10.21,1.662,5.083333333333333,156.85294117647058,19.5012,85.5578231292517,40.8,24.91,15.89,10,2025,2,1
2025-03-09,90.87,10.554,46.91666666666666,155.28081457663453,13.651938263665595,83.93309481216458,37.95,30.6,7.35,10,2025,2,1
2025-03-12,27.69,4.356199999999999,19.78333333333333,141.51683501683502,13.177524242424242,81.18971332209107,34.18,19.83,14.35,11,2025,1,1
2025-03-12,21.79,3.518,11.983333333333333,152.55093256814922,18.159128263988524,78.02020202020202,33.6,20.32,13.28,11,2025,2,1
2025-03-13,55.52,5.843,23.683333333333334,163.74239049740163,15.41424587973274,83.75577066269545,34.62,29.12,5.5,11,2025,2,1
2025-03-14,117.1,15.07,60.25,155.4308628318584,15.0012,83.24763231197771,38.46,51.12,-12.66,11,2025,0,1
2025-03-16,95.0,10.024,37.88333333333333,166.7911169744943,15.8750327176781,84.86960352422908,39.38,52.5,-13.12,11,2025,2,1
2025-03-17,85.21,11.27,45.05,154.24704142011834,15.0012,81.78927773641102,41.52,60.68,-19.16,12,2025,2,1
2025-03-17,27.0,4.105,18.916666666666668,142.32570422535213,12.9996,82.19584837545126,40.84,52.26,-11.42,12,2025,1,1
2025-03-18,161.52,18.325,90.91666666666669,151.5406891495601,12.118918328445748,84.00935436537051,46.45,79.57,-33.12,12,2025,0,1
2025-03-20,22.96,3.737,17.216666666666665,139.54255319148936,12.9996,81.7490234375,43.3,50.5,-7.2,12,2025,1,1
2025-03-21,57.36,7.138,30.683333333333334,153.74061990212073,14.010011745513866,84.49891067538127,43.95,52.22,-8.27,12,2025,2,1
2025-03-22,38.18,4.017,18.95,157.00966608084357,12.79149595782074,81.56349206349206,43.69,48.71,-5.02,12,2025,1,1
2025-03-22,122.73,10.284,36.18333333333333,180.83103130755063,17.0324817679558,85.31918819188192,47.36,67.21,-19.85,12,2025,2,1
2025-03-24,153.45,18.026,80.61666666666666,154.52211657709796,13.466490533278217,82.8394704178734,50.2,76.17,-25.97,13,2025,0,1
2025-03-27,183.16,19.037,75.28333333333333,165.41876936697653,15.256100398406376,84.19849357554276,52.03,77.92,-25.89,13,2025,0,1
2025-03-28,64.66,8.742,40.31666666666667,147.18719008264463,12.9996,80.6851081530782,52.62,74.61,-21.99,13,2025,0,1
2025-03-30,114.05,14.227,62.55,152.66062866275973,13.653492914224827,83.15413333333333,53.14,70.48,-17.34,13,2025,0,1
2025-03-30,17.98,2.106,8.783333333333333,157.70075757575756,14.45884090909091,83.3022813688213,51.51,57.35,-5.84,13,2025,2,1
2025-03-31,102.64,12.764,58.88333333333333,150.72608941709112,12.9996,79.6879271070615,53.89,68.68,-14.79,14,2025,0,1
2025-04-01,89.56,11.574,60.016666666666666,144.16907273736814,11.63942065519156,84.08087826570316,55.55,73.9,-18.35,14,2025,0,1
2025-04-01,42.09,4.37,26.95,146.06616126809098,11.269262853204689,72.06703524533518,54.92,65.95,-11.03,14,2025,1,1
2025-04-02,100.4,11.833,55.38333333333333,152.40854392298436,12.691508664259928,83.24759036144579,57.03,74.56,-17.53,14,2025,0,1
2025-04-05,31.25,3.918,18.183333333333334,150.11904761904762,12.912847252747254,82.55055147058823,50.89,39.27,11.62,14,2025,1,1
2025-04-07,137.19,18.057,91.08333333333331,144.5554740509811,11.96209293966624,84.01486511286474,52.65,56.39,-3.74,15,2025,0,1
2025-04-07,133.3,13.1395,247.26666666666668,106.44851942406954,12.017370171149144,44.39635968486824,56.4,75.61,-19.21,15,2025,0,-1
2025-04-08,51.4,7.204,35.05,143.44249049429658,12.394002661596955,84.23714285714286,56.17,69.56,-13.39,15,2025,0,1
2025-04-09,103.06,11.68,51.61666666666667,156.61234487263226,13.76792606139778,83.85228758169934,58.35,77.94,-19.59,15,2025,0,1
2025-04-11,169.61,19.735,90.45,153.8729016786571,13.09488810182623,85.0452279859701,60.94,86.24,-25.3,15,2025,0,1
2025-04-12,116.52,13.019,54.65,159.50518292682926,14.32369975609756,83.33150183150182,63.52,93.81,-30.29,15,2025,0,1
2025-04-16,112.92,13.024,60.083333333333336,153.97115917914587,12.9996,81.82351306281268,57.76,57.91,-0.15,16,2025,0,1
2025-04-21,65.01,7.458,30.35,159.70694522868436,14.730197854319591,82.54046406338426,48.54,30.0,18.54,17,2025,2,1
2025-04-22,90.87,10.02,40.05,162.2741264559068,15.0012,81.00836820083683,50.51,45.21,5.3,17,2025,2,1
2025-04-23,123.15,15.555,77.88333333333334,146.58814719726143,12.032388446726571,83.03811563169165,53.89,64.7,-10.81,17,2025,0,1
2025-04-25,91.95,13.169,60.75,144.75726823916622,12.9996,80.89179515418502,53.27,59.38,-6.11,17,2025,0,1
2025-04-26,80.33,10.416,53.61666666666667,144.33312616532007,11.630313486637665,81.40385812072184,54.53,64.62,-10.09,17,2025,0,1
2025-04-28,120.3,11.515,53.11666666666667,162.19447929736512,12.9996,81.42123503465659,55.17,66.42,-11.25,18,2025,0,1
2025-04-29,164.75,15.357,70.85,163.37817497648166,12.9996,79.21081208687441,60.27,91.0,-30.73,18,2025,0,1
2025-04-30,134.86,15.033,60.083333333333336,161.79173599556296,15.0012,80.95361111111112,63.73,101.97,-38.24,18,2025,0,1
2025-05-02,137.41,13.089,60.38333333333333,162.40949227373068,12.9996,81.24611973392462,64.33,91.71,-27.38,18,2025,0,1
2025-05-05,113.71,11.454,52.81666666666667,159.9365930599369,12.9996,76.83438885370488,61.06,67.12,-6.06,19,2025,0,1
2025-05-06,79.55,10.843,50.016666666666666,146.8327781479014,12.9996,80.9682061579652,61.92,70.23,-8.31,19,2025,0,1
2025-05-07,72.69,8.684,40.05,152.46422628951748,12.9996,79.55183946488295,62.42,70.84,-8.42,19,2025,0,1
2025-05-08,33.42,4.177,19.25,150.55536332179932,12.9996,79.47027972027972,61.07,61.49,-0.42,19,2025,2,1
