session_file,date,distance_km,duree_min,fc_moyenne,fc_max,vitesse_moy,cadence_moy,allure_min_km,month_year
460305244924968960.fit,2024-05-03,12.6285,58.86666666666667,152.36624203821657,188.0,13.141556108859294,82.20579710144928,4.5656693547540685,2024-05
460391683555622912.fit,2024-05-07,17.619,72.33333333333333,162.67664115054512,186.0,14.540207933194155,82.67680520083584,4.1264884433340665,2024-05
460694895898689536.fit,2024-05-20,10.043,38.833333333333336,163.76018876018875,189.0,15.181372972972975,82.99227136109918,3.9522117075192424,2024-05
460829317639733248.fit,2024-05-26,10.1345,44.63333333333333,148.1947652040031,181.0,14.019810623556582,80.24286815728604,4.279658378493778,2024-05
460829702844612611.fit,2024-05-26,1.661,8.166666666666666,138.81670061099797,148.0,12.39934582484725,80.35728952772074,4.83896496214865,2024-05
463241586826838023.fit,2024-09-07,1.022,14.7,111.66176470588235,125.0,5.714711764705883,60.08660130718954,10.49921719071828,2024-09
463261131075518467.fit,2024-09-07,1.671,8.516666666666667,123.07042253521126,143.0,13.099259154929578,,4.580411708048429,2024-09
463312871470694402.fit,2024-09-10,4.9675,24.483333333333334,142.49591836734695,158.0,11.881579591836735,80.578231292517,5.0498336131353385,2024-09
463312871470694403.fit,2024-09-10,4.774,21.633333333333333,165.90993071593533,186.0,14.405212933025405,78.27602158828064,4.165158840689119,2024-09
463363396394319878.fit,2024-09-12,7.4945,46.45,133.3307001795332,170.0,9.493555475763015,79.49299820466787,6.3200768303487145,2024-09
463389299878952964.fit,2024-09-13,8.8895,39.56666666666667,151.71783876500857,174.0,13.875312349914237,79.60920034393808,4.324226978599935,2024-09
463426936943706118.fit,2024-09-15,2.67159,13.683333333333334,128.1363073110285,146.0,11.452804460966544,,5.238891505088736,2024-09
463482661996888068.fit,2024-09-17,15.017,61.9,146.44602960969044,171.0,14.435438923283984,81.16275936405282,4.156437522881384,2024-09
463523255611850754.fit,2024-09-19,8.58,64.61666666666666,86.3262432594368,136.0,9.189779748352308,8.25256537570341,6.528992167713026,2024-09
463613330473385985.fit,2024-09-23,14.5685,59.86666666666667,169.37346711259755,185.0,14.509504013377928,81.44078212290503,4.135220607450076,2024-09
463685982259019778.fit,2024-09-26,11.572,103.43333333333334,92.41712275215012,131.0,8.038579046129788,7.9921383647798745,7.464005722365482,2024-09
463704870183010307.fit,2024-09-27,7.5975,43.56666666666667,149.3927342256214,171.0,10.453214684512428,80.54117196476446,5.73986106770547,2024-09
463724658439520257.fit,2024-09-28,2.471,13.133333333333333,149.63466666666667,166.0,12.0874944,81.6970509383378,4.9638078839564965,2024-09
