annee,semaine,charge_semaine,km_semaine,nb_seances,fc_moy_semaine,monotonie,charge_totale
2024,1,0.0,0.0,0,,0.0,0.0
2024,18,106.6,12.6285,1,152.36624203821657,106.6,11363.56
2024,19,165.59,17.619,1,162.67664115054512,165.59,27420.05
2024,20,0.0,0.0,0,,0.0,0.0
2024,21,175.07999999999998,21.8385,3,150.25721819172995,2.18,381.67
2024,22,0.0,0.0,0,,0.0,0.0
2024,23,0.0,0.0,0,,0.0,0.0
2024,24,0.0,0.0,0,,0.0,0.0
2024,25,0.0,0.0,0,,,
2024,26,0.0,0.0,0,,,
2024,27,0.0,0.0,0,,,
2024,28,0.0,0.0,0,,,
2024,29,0.0,0.0,0,,,
2024,30,0.0,0.0,0,,,
2024,31,0.0,0.0,0,,,
2024,32,0.0,0.0,0,,,
2024,33,0.0,0.0,0,,,
2024,34,0.0,0.0,0,,,
2024,35,0.0,0.0,0,,,
2024,36,16.71,2.693,2,117.36609362054682,2.0,33.42
2024,37,225.57,28.79709,5,144.31813906777052,2.05,462.42
2024,38,114.65,23.597,2,116.38613643456361,1.1,126.12
2024,39,391.45,45.786500000000004,5,147.0612252700512,2.44,955.14
2024,40,98.0,10.657499999999999,2,151.6723647645279,0.73,71.54
2024,41,454.38,59.1325,4,154.57993331537523,2.46,1117.77
2024,42,120.48,15.763,1,147.29287003610108,0.66,79.52
2024,43,0.0,0.0,0,,0.0,0.0
2024,44,103.3,11.120999999999999,2,147.22456622762206,0.52,53.72
2024,45,153.36,14.118,1,170.11719894520948,2.32,355.8
2024,46,149.16,22.229,3,144.53984270913324,2.09,311.74
2024,47,204.16000000000003,24.8885,3,154.17019849097565,4.95,1010.59
2024,48,0.0,0.0,0,,0.0,0.0
2024,49,141.59,13.236,1,166.2422543523163,1.63,230.79
2024,50,117.44,14.557,2,157.0713995398129,1.38,162.07
2024,51,73.63,13.652,1,144.36952833389887,1.18,86.88
2024,52,466.21,49.871,5,156.4506470158676,2.59,1207.48
2025,1,0.0,0.0,0,,0.0,0.0
2025,2,262.88,29.4005,4,159.13216752413362,1.26,331.23
2025,3,449.13,43.8885,4,160.68075814524326,2.07,929.7
2025,4,553.4,69.09036,5,151.34889718449065,2.28,1261.75
2025,5,483.14,59.91494,5,148.87689811798427,3.9,1884.25
2025,6,577.37,69.9147,6,150.66058335144297,9.66,5577.39
2025,7,279.84000000000003,33.43725,3,155.62955083739914,2.07,579.27
2025,8,359.94,40.757999999999996,4,152.9188542599571,2.74,986.24
2025,9,259.38,35.733000000000004,3,144.16826173729518,1.78,461.7
2025,10,204.26,24.535,4,154.42510307876375,3.17,647.5
2025,11,317.1,38.8112,5,156.00642757774773,4.67,1480.86
2025,12,514.96,58.876000000000005,7,154.17675789671927,3.8,1956.85
2025,13,533.3,62.138,5,155.49789245304729,3.35,1786.55
2025,14,365.94,44.459,5,148.69778299291644,3.4,1244.2
2025,15,711.08,82.83449999999999,6,144.07281890791097,5.03,3576.73
2025,16,112.92,13.024,1,153.97115917914587,0.44,49.68
2025,17,451.31,56.618,5,151.53192265726778,1.83,825.9
2025,18,557.32,54.994,4,162.4434706357851,2.2,1226.1
2025,19,417.24,47.194,5,154.4531847660374,2.19,913.76
2025,20,532.91,68.058,6,149.07054062644195,8.04,4284.6
2025,21,368.39,39.242999999999995,3,160.08889599851048,4.06,1495.66
2025,22,391.96999999999997,40.778999999999996,5,167.89411463246432,5.37,2104.88
2025,23,531.9,56.075,8,155.79721163085247,6.02,3202.04
2025,24,300.84,33.274,6,159.84583728988113,3.1,932.6
2025,25,500.38,49.778,7,163.49317174586238,4.74,2371.8
2025,26,180.34,15.42,3,166.53070359147435,1.08,194.77
2025,27,338.93,22.837,5,159.2207717539008,2.57,871.05
2025,28,382.77,36.291,5,158.54763778035212,2.89,1106.21
2025,29,327.81,32.777,3,165.16883614378997,3.72,1219.45
2025,30,255.56,27.988,4,160.9407805767924,4.84,1236.91
2025,31,315.65,37.453,4,152.7651446334762,6.05,1909.68
2025,32,285.14,29.908,4,155.96233620747307,8.8,2509.23
2025,33,368.58,39.646,4,160.32726624171565,7.64,2815.95
2025,34,595.05,68.254,5,156.7697176403032,4.24,2523.01
2025,35,373.42,39.991,6,161.42645007159328,2.81,1049.31
2025,36,615.25,59.821,5,162.75933351403563,4.54,2793.24
2025,37,568.26,60.947,9,154.38152721044375,5.1,2898.13
2025,38,148.59,17.912,2,154.00671630682407,0.7,104.01
2025,39,265.4,29.038,4,156.02815607641844,1.16,307.86
2025,40,297.21999999999997,34.299,6,157.1202680176497,1.67,496.36
2025,41,247.78,24.133,3,160.2888602633809,3.86,956.43
2025,42,251.53,26.043,6,158.3599074780648,11.19,2814.62
2025,43,704.55,80.218,8,156.0787483822574,3.19,2247.51
2025,44,349.42,35.957,7,150.4532363492069,1.62,566.06
2025,45,178.20000000000002,17.874,3,161.47347310172879,0.76,135.43
2025,46,430.12,61.877,8,150.79049567261902,1.96,843.04
2025,47,192.38,22.903,3,155.24606587837422,1.57,302.04
2025,48,184.56,22.593,5,149.14565564608753,1.5,276.84
2025,49,334.13,38.155,9,150.41113404164687,2.82,942.25
2025,50,429.42,51.381,7,150.7591174643787,3.63,1558.79
2025,51,88.69,10.843,1,148.04735547355477,0.58,51.44
2025,52,67.2,6.355,3,158.08731214495933,0.37,24.86
2026,1,38.0,4.266,2,156.512333866601,0.21,7.98
2026,2,282.19,28.893,3,159.67045401782252,2.55,719.58
2026,3,361.46000000000004,36.047,2,162.32405753052916,2.27,820.51
2026,4,781.2,82.27,10,152.39760525597265,2.53,1976.44
2026,5,463.43999999999994,47.421,4,158.29147137162528,2.12,982.49
